CLIENT_ID,ACCOUNT_ID,ENTDATE,INV_AMT,INV_ID,invoice_expensive_cheap,negative_service,zero_service,apriori_rare_service,service_low_cluster,service_outliers_kmeans,low_cluster,outliers_kmeans,status,status_review,comment_col,Unusual_service_combination,Invoice_amount_variation,Unusual_amount,Services_with_Negative_Amount,Zero_Service,sum_errors,percentage_error
41963496,34273468,2019-09-01,39591,8689395,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
41985831,34295803,2019-09-01,999,8790238,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
41998674,34308646,2019-09-01,14981,8715780,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
42036648,34346620,2019-09-01,14980,8689045,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
41802890,34112862,2019-09-01,0,8725245,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
41827900,34137872,2019-09-01,14990,8719036,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
43425212,35735214,2019-09-01,0,8745952,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
42003683,34313655,2019-09-01,994,8790258,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
41917753,34227725,2019-09-01,24976,8696496,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
41773142,34083114,2019-09-01,5983,8789970,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
41886816,34196788,2019-09-01,0,8685363,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
42006877,34316849,2019-09-01,45919,8686242,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
41878152,34188124,2019-09-01,15986,8694760,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
41838877,34148849,2019-09-01,992,8790185,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
41920025,34229997,2019-09-01,0,8711534,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
41815148,34125120,2019-09-01,24977,8685503,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
41929593,34239565,2019-09-01,10990,8683799,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
